ชื่อกลุ่มตัวเลือก,เลือกได้(เดี่ยว/หลาย),บังคับเลือก(Y/N),โชว์เฉพาะ(ทุกแบบ/เย็น),ตัวเลือกและราคาเพิ่ม (ชื่อ:บาท คั่นด้วย |)
หวาน4,เดี่ยว,Y,ทุกแบบ,หวานปกติ:0 | หวานน้อย:0 | หวานน้อยมาก:0 | ไม่หวาน:0
น้ำแข็ง4,เดี่ยว,N,เย็น,น้ำแข็งปกติ:0 | น้ำแข็งน้อย:0 | น้ำแข็งเยอะ:0 | แยกน้ำแข็ง:10
ท็อปปิ้ง,หลาย,N,ทุกแบบ,ไข่มุกบุก:20 | น้ำตาลโตนด:20 | ซอสคาราเมล:15 | วิปครีม:15 | เจลลี่:15
ช็อต,เดี่ยว,N,ทุกแบบ,ไม่เพิ่ม:0 | เพิ่ม 1 ช็อต:10 | เพิ่ม 2 ช็อต:20
นม,เดี่ยว,N,ทุกแบบ,นมปกติ:0 | นมโอ๊ต:20 | นมอัลมอนด์:25 | นมถั่วเหลือง:15
